1665,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-0.81,0.2,0.72,18.4,-12.3,6.9,102322,69,4.48,77.3
1765,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-0.73,0.15,0.73,-23.5,3.2,-9.1,102322,69,4.59,43.8
1865,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-0.83,0.16,0.91,-33.3,-4.8,5.8,102322,69,4.58,40.1
1965,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-0.71,0.16,0.66,-34.5,14,1.1,102322,69,4.6,43.8
2065,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-0.83,0.15,0.7,-42.1,59.5,-11.8,102322,69,4.59,40.1
2165,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-0.79,0.11,0.53,-31.2,56.8,12.1,102322,69,4.58,41.9
2265,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-0.93,-0.1,0.58,-22.1,3.5,-18,102322,69,4.61,33.1
2365,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-1.05,-0.14,0.7,-10.1,4.3,35.1,102322,69,4.63,32.6
2465,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-0.74,0.06,0.47,17.9,2.6,16,102322,69,4.62,36.4
2575,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-0.95,0.09,0.55,-7.3,-2.7,-17.3,102322,69,4.6,42.4
2665,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-0.74,-0.04,0.45,-4.6,0.6,-18.2,102322,69,4.59,41.5
2765,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-0.72,-0.06,0.41,-7.1,21.5,-10.4,102322,69,4.61,38.2
2865,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-0.77,-0.1,0.35,2,35.7,-9.9,102322,69,4.61,39.6
2965,0,0,0,-43.529712,172.580276,0,A,1,0,0,138.7,11.3,-0.96,0.02,0.36,0.5,3.7,2.5,102322,69,4.6,41.5
