# Untuned case (Up to date)
# 704 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=12 seconds
12.098307271,0.5914525056,12.8813509314,142.9133081462,12.8813509314,142.9133081462,0,0,0,0,0,0,-43.53,-172.633,9.8047417258,9.3391411296,0,0,0,2033.7108080912,597.9167134574,0.2968465389,0.0034288803,NaN,96.1732724902,NaN,0.0383694894,1245756.222845581,311.0008083647,0.4164597495,0.4164801895,0.4881732547,0.254944662,0.0413441391,0.1201913883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013620314,10.221,82.0496358537,90,0,2.1184188607,14.7296555617,1008.3720196764,340.2250712704,0.0085796471,0.005350515
12.1060704319,0.6957972137,14.0006962991,144.2190013758,14.0006962991,144.2190013758,0,0,0,0,0,0,-43.53,-172.633,9.8047414018,8.5836087961,0,0,0,2032.1949547216,596.4008600878,0.2966981913,0.0034286049,NaN,96.151255394,NaN,0.041617247,1351190.034896874,313.4832290143,0.4769560343,0.4124555268,0.4752366622,0.2509641257,0.0412662417,0.1202251594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001480393,10.221,82.0496358537,90,0,2.1132976695,14.7289773193,1008.359781758,340.2246602555,0.0077631609,0.005664212
12.1132129338,0.7995048254,15.0389289203,145.3934442713,15.0389289203,145.3934442713,0,0,0,0,0,0,-43.53,-172.633,9.8047410806,7.9895924254,0,0,0,2030.7783134208,594.984218787,0.2965593747,0.0034283475,NaN,96.1306495967,NaN,0.0446361232,1449190.9650634183,315.7098404266,0.5367313317,0.4090685012,0.464908581,0.2476068148,0.0412026765,0.1202590099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015901767,10.221,82.0496358537,90,0,2.1107915724,14.7283032185,1008.34761857,340.2242517504,0.0071425019,0.006099663
12.1198623435,0.9027364378,16.0109864832,146.2208580314,16.0109864832,146.2208580314,0,0,0,0,0,0,-43.53,-172.633,9.8047407614,7.5020244204,0,0,0,2029.4138905323,593.6197958986,0.2964255117,0.0034280996,NaN,96.1107761469,NaN,0.0474663785,1541066.3236758432,317.2363561864,0.5958387176,0.4061563428,0.4563996631,0.2447138544,0.041149591,0.1202928974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001692962,10.221,82.0496358537,90,0,2.1084584871,14.7276322125,1008.3355112211,340.2238451208,0.0066494097,0.006521228
# Event LAUNCHROD occurred at t=12.126 seconds
12.1261080549,1.005601024,16.9283363295,146.9084793835,16.9283363295,146.9084793835,0,0,0,0,0,0,-43.53,-172.633,9.8047404437,7.0924467214,0,0,0,2028.1323043629,592.3382097291,0.2962996297,0.0034278668,NaN,96.0920848983,NaN,0.0501401285,1627858.9501514533,318.4895747662,0.6544311141,0.403608202,0.4492489443,0.2421769601,0.0411044177,0.1203268242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001789961,10.221,82.0496358537,90,0,2.1062670478,14.7269635927,1008.3234469293,340.2234399372,0.0062457113,0.006950337
12.1354766219,1.1706745311,18.3119215191,147.7602130588,18.3119240107,147.763919771,-0.000044345,0,0.000044345,179.9999739599,0.0095526151,1.0466245401,-43.53,-172.6330000006,9.8047401271,6.520817961,0,0.1870658419,-0.000052175,2026.2099251087,590.4158304749,0.2961105404,0.0034275175,101.2528602475,96.0640036919,0.5076662318,0.0541745821,1758816.9151939766,320.0070559653,0.7474184297,0.4000852863,0.4395163697,0.238659662,0.0410440892,0.1203815351,1.2476222176,0.6335351794,0.0000360166,0,0,0,0,0.0000179694,0.0019362856,10.221,82.0496358537,89.9991433502,0.0114357576,2.1029798889,14.7258905964,1008.3040862392,340.2227897014,0.009368567,0.007412847
12.1495294724,1.4427078172,20.4047027805,149.0345313374,20.4047178244,149.0387198961,-0.0002844003,0,0.0002844003,179.9999333736,0.024777635,1.1173617662,-43.53,-172.6330000035,9.804739619,5.7958715214,0,0.5148132775,-0.0002438231,2023.3263562274,587.5322615936,0.2958263059,0.0034269935,101.7316740351,96.0217818316,0.5586432055,0.0602850721,1957151.8551992185,322.283277764,0.8998292176,0.3953642001,0.4273234485,0.2339241915,0.0409675509,0.1204724577,1.086972568,0.6069612449,-0.0000943016,0,0,0,0,0.0001099053,0.0021576051,10.221,82.0496358537,89.9942788468,0.0162375769,2.0980491505,14.7241223348,1008.2721804776,340.2217181349,0.0140528505,0.007811339
12.1706087482,1.9063010133,23.5829242203,150.9372228513,23.5829759568,150.9420845619,-0.0010627048,0,0.0010627048,179.9998049672,0.0493983504,1.211465979,-43.53,-172.6330000132,9.8047387817,4.9968022898,0,1.1134787085,-0.0001288182,2019.0010029054,583.2069082717,0.2953985967,0.0034262076,102.2859908753,95.9582229089,0.6190948015,0.0695871228,2259050.934803377,325.6976104621,1.1604398956,0.3892853149,0.4136229536,0.2277782387,0.0408775684,0.1206295078,0.9162262672,0.5669463649,-0.0003402282,0,0,0,0,0.0003858774,0.002493741,10.221,82.0496358537,89.9773499037,0.0104446314,2.1208509824,14.7211088282,1008.2178060428,340.2198919499,0.0210792758,0.008199463
12.2022276619,2.7280156874,28.3945203606,152.3147487744,28.3946592207,152.3198857738,-0.0032442973,0.0000000219,0.0032442973,179.9996124183,0.088801758,1.2509628054,-43.53,-172.6330000402,9.8047373548,4.0660672379,0.0000006645,2.256526421,0.0005268725,2012.4078205889,576.6137259551,0.2947434796,0.0034250096,102.9695012836,95.8608137113,0.695498246,0.083677888,2716293.303264034,327.8631130747,1.6162264932,0.3819114672,0.3984393857,0.2202161609,0.0407850477,0.1209102586,0.7257536872,0.5040772094,0.0001845242,0,0,0,0,0.001096001,0.0030023705,10.221,82.0496358537,89.924832362,0.001927868,2.1448948316,14.7157677931,1008.1214346719,340.2166552826,0.0316189137,0.008591544
12.2496560325,4.2449840646,35.5747710234,151.5250755556,35.5750454729,151.5272585643,-0.008746655,0.0000000875,0.008746655,179.9994266238,0.1397391696,0.8133669889,-43.53,-172.6330001085,9.8047348256,2.6969781327,0.0000009798,4.3777177856,0.0012021915,2002.5901255355,566.7960309018,0.2937608306,0.0034232256,104.05347333,95.7145761678,0.8158592273,0.1046965597,3398136.1489279554,325.4884500687,2.4202430926,0.3736315459,0.3811997926,0.2114938315,0.0407127364,0.121424978,0.4620215553,0.3746886103,-0.0003070229,0,0,0,0,0.0026351023,0.0037613912,10.221,82.0496358537,89.7689826819,-0.0028928528,1.9594420294,14.7059079123,1007.9435271675,340.2106801948,0.0474283706,0.008996709
12.2996560325,6.2101686936,43.0341832335,149.2994498178,43.0344957828,149.2994571826,-0.0165032518,0.000000072,0.0165032518,179.9997501545,0.1640143416,0.0468948122,-43.53,-172.6330002047,9.8047301566,1.8840832204,0.0000032591,6.8828789249,0.0003521293,1992.432071627,556.6379769932,0.292735009,0.0034213796,104.7512174371,95.5617518975,0.8990769533,0.1266051724,4108517.904617262,320.4716824769,3.4809012803,0.3712132495,0.3750136812,0.2084357955,0.040693701,0.1220837531,0.3147951032,0.278106374,0.0002714761,0,0,0,0,0.0044547559,0.0045503526,10.221,82.0496358537,89.488687982,-0.004101746,1.9641739619,14.6931337194,1007.7130350516,340.202939034,0.05,0.009394099
12.3496560325,8.5442698493,50.3310903509,145.9998860366,50.3312610587,146.0075408194,-0.0242093421,-0.0000001928,0.0242093421,-179.9995437446,0.1310871696,1.495076403,-43.53,-172.6330003003,9.8047241079,0.9482020375,-0.000003819,9.2000393896,0.0044466168,1982.390433637,546.5963390033,0.2917117033,0.0034195546,105.6021381236,95.4091396968,0.9972603881,0.1480272953,4802715.653302185,313.6038492545,4.7301486223,0.3718766059,0.3728791152,0.2083129715,0.040715064,0.1228485704,0.15380329,0.1475694129,-0.0004879647,0,0,0,0,0.0058224503,0.0053219557,10.221,82.0496358537,89.0844231002,-0.0065113644,1.7659359702,14.677961996,1007.4392829127,340.1937449696,0.05,0.009909376
12.3996560325,11.2420499535,57.5801833872,144.9750554732,57.5801849639,145.0122008229,-0.0281972755,-0.0000016099,0.0281972755,-179.9967288083,0.0134750131,3.2820234659,-43.53,-172.6330003498,9.8047169238,0.3936172496,-0.0000302013,10.6870602691,0.0108792847,1972.4805920226,536.6864973888,0.2906926836,0.0034177534,106.1405912844,95.2570071299,1.064825766,0.1693471635,5493137.652515477,311.5554740604,6.188271412,0.3726672339,0.3728442684,0.2081717094,0.0407673244,0.1237282,0.0627296756,0.0604563617,-0.000375033,0,0,0,0,0.0060034075,0.0060884159,10.221,82.0496358537,88.584809028,-0.0142061877,1.828193276,14.660426615,1007.1228819394,340.1831185287,0.05,0.010304843
12.4496560325,14.3019630512,64.8152308877,144.6225717713,64.8155597933,144.7279695131,-0.0238372477,-0.0000066175,0.0238372487,-179.9840940821,0.206485593,5.5223992637,-43.5300000001,-172.6330002957,9.8047086203,0.1545413643,-0.0000302864,-10.9111908821,0.0428998536,1962.5707504081,526.7766557744,0.2896644414,0.0034159522,106.3913005289,95.1033382009,1.1043892308,0.1906319612,6181899.573535761,311.1231569872,7.8548792087,0.3735816108,0.373609228,0.2080117478,0.0408455922,0.1247242708,0.0244518706,0.0315367533,-0.0003236717,0,0,0,0,-0.0049387928,0.0068534935,10.221,82.0496358537,88.0393627598,-0.0215095865,1.829017082,14.6405373711,1006.7640088626,340.1710656469,0.05,0.010701653
12.4996560325,17.7231268213,72.0290863237,144.1331207705,72.0311038777,144.3383941872,-0.0056447434,-0.0000192111,0.0056447761,-179.8050027238,0.5391189282,7.6951629928,-43.5300000002,-172.63300007,9.8046992022,0.5064896512,0.000031155,-9.3648368039,0.0046832389,1952.6627777213,516.8686830876,0.2886270329,0.0034141511,106.0754510162,94.9481389421,1.0886715658,0.2118767224,6868776.016878188,310.6905164163,9.7330539345,0.3746158914,0.3749092232,0.207833224,0.0409467405,0.1258359269,0.081158525,0.0913913136,-0.0001552833,0,0,0,0,-0.0029453457,0.0076165948,10.221,82.0496358537,87.5277499238,-0.023697094,1.9234605953,14.6183000149,1006.3627674441,340.1575898091,0.05,0.011095687
12.5496560325,21.5041129335,79.2071169226,143.3603056296,79.2131304366,143.6806325789,0.0318447267,-0.0000424795,0.0318447551,-0.0764299967,0.9760442486,9.5888971246,-43.5300000004,-172.632999605,9.8046886723,0.7557939334,0.0000592414,-6.0123107203,-0.0056118918,1942.8093639738,507.0152693401,0.2875859128,0.0034123598,105.8655264528,94.7922243743,1.0833873475,0.2330210857,7551747.268052281,309.9440891816,11.8145936117,0.3757639894,0.3764126238,0.207636832,0.04106831,0.1270588474,0.1222276274,0.1338537033,-0.0001580565,0,0,0,0,-0.0010037667,0.0083763678,10.221,82.0496358537,87.1399399772,-0.0219792159,1.9209502594,14.5937238194,1005.9193250011,340.1426966346,0.05,0.011494751
12.5960663244,25.3338244828,85.8269349487,142.4286510407,85.8392003891,142.8236493193,0.0879873606,-0.0000736149,0.0879873914,-0.0479366942,1.4510550517,10.6148088821,-43.5300000007,-172.6329989086,9.8046770348,0.8371586432,0.000007084,-1.3184795427,0.0119364652,1933.663367807,497.8692731732,0.2866110033,0.0034106971,105.8148027362,94.6460815928,1.0927229374,0.2525225071,8181001.98432415,308.9586647556,13.9168875189,0.3769267016,0.3777223479,0.2074391516,0.0411977598,0.1282897902,0.1358815593,0.1486194706,-0.0001078803,0,0,0,0,-0.0000411079,0.009077587,10.221,82.0496358537,86.9705604873,-0.016775198,1.8243808858,14.5688306571,1005.4701633437,340.1276113782,0.0464102919,0.011890749
12.6315281952,28.466672533,90.8595604528,141.7613540733,90.8779021473,142.1368892238,0.1461214201,-0.0001030822,0.1461214564,-0.0404196168,1.825752728,10.3253944008,-43.5300000009,-172.6329981875,9.8046652475,0.6896752031,0.0000031888,2.6732911675,-0.0015208092,1926.7016156353,490.9075210015,0.2858633386,0.0034094313,105.9727654101,94.5339105805,1.1191522189,0.2673618091,8659372.611692252,308.2885245887,15.6237476495,0.3778777111,0.3784223108,0.2072780911,0.0413069162,0.1292927038,0.1114920047,0.1249512487,-0.0000863178,0,0,0,0,0.0001507663,0.0096109127,10.221,82.0496358537,86.9985630012,-0.0115344685,1.8419436808,14.548466849,1005.1027274317,340.1152709105,0.0354618708,0.012278031
