timestamp,pdop,hdop,vdop,lati,longi,gps_speed,gps_mode,gps_fix_type,gps_fix_quality,gps_sats_tracked,gps_alt,gps_height,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_pa,tc_temp_C,cjc_temp_C,oc_sc_flags,batt_voltage_V,batt_current_mA,baro_calculated_altitude_m,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll_deg,pitch_deg,yaw_deg
0.7529999999999859,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.051,0.994,-0.09,-0.2,7.3,0.7,101443,27.7,29.1,0,4.14,42.9,-0.258101772141013,-0.00012805698377370636,0.006782037480847939,0.00039801176823145993,0.009912900085383864,0.0023455639018384617,0.0003370155805354956,-121.78595230629546,-83.5006157681769,0.15285557828569335
0.8029999999999973,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.069,0.991,-0.119,-0.5,0.8,0.6,101443,27.7,28.7,0,4.11,39.6,-0.258101772141013,0.00027919114887414227,0.006940457332967103,0.00039841000243963733,0.006377025220526379,0.00399123018292666,-0.00032108621220840227,-121.19044680880394,-83.48634890244011,-0.06671703626380807
0.8530000000000086,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.076,0.992,-0.092,-0.6,-2.3,0.7,101443,27.2,28.7,0,4.14,47.1,-0.258101772141013,0.0004207728590264691,0.0070477112896428626,0.00036389299434999394,-0.0007137568144345947,0.0002989280841027347,-0.0010595941113770203,-121.02642126709202,-83.48217700215604,-0.1791214850642583
0.9029999999999916,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.059,0.997,-0.088,-0.5,1.9,0.5,101443,27.5,28.7,0,4.14,43.3,-0.258101772141013,0.0004050849633781636,0.0069218225044687855,0.0003069360871563885,8.624098850216219e-05,-0.005334479491067545,-0.0012186821763679747,-121.00250810876658,-83.48484564964546,-0.30651053037799586
0.953000000000003,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.043,0.996,-0.097,-0.6,0.7,0.4,101443,27.5,28.9,0,4.11,77.7,-0.258101772141013,0.0005106834185435395,0.006700637746055368,0.00025755854587765673,0.004137697218111915,-0.0035129108454671288,-0.0007564194747808456,-120.82120004349775,-83.47806141884186,-0.38095270849225543
1.002999999999986,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.055,0.995,-0.104,-0.7,-3.2,0.3,101438,27.7,28.6,0,4.15,43.3,0.1720712818972014,0.0007480289567344592,0.006639427242287362,0.00022724270714761055,0.0053561243095281135,0.0010644906947460293,-0.0004562140744214158,-120.7600209949017,-83.47299502906891,-0.3948747812001457
1.0529999999999973,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.067,0.994,-0.083,-0.9,-0.9,0.0,101438,27.2,28.6,0,4.14,48.9,0.1720712818972014,0.001042852785239017,0.006638339907437243,0.00019996558155232954,0.006436828830651513,-0.0011079840887507878,-0.0006348709493895759,-120.95371389863963,-83.46965825311582,-0.3485342194589939
1.1030000000000086,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.067,0.996,-0.089,-0.7,0.2,0.2,101438,27.2,28.6,0,4.11,71.2,0.1720712818972014,0.0014332002482716662,0.0064232887533529825,0.00016519936730428393,0.009177069690650906,-0.0074940620746176585,-0.0007557776205319324,-121.1895673467565,-83.46712533018632,-0.14400609116815846
1.1670000000000016,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.076,0.996,-0.09,-0.3,1.8,0.6,101438,27.2,28.2,0,4.16,43.3,0.1720712818972014,0.0020305374602411588,0.005647636566916966,0.0001440937781815925,0.00948971818339779,-0.016745068751510522,9.622796044775198e-05,-121.26733958705468,-83.45949251284488,-0.036933445630614556
1.2079999999999984,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.061,0.994,-0.104,-0.4,1.0,0.7,101438,26.7,28.2,0,4.14,40.5,0.1720712818972014,0.0023843843010186347,0.004891710017567117,0.00015560932457545605,0.0077711033179438446,-0.020129397070436223,0.00046550600998466096,-121.05525562881522,-83.44906434745397,-0.16593367054835498
